productType,brand,yearOfManufacture,conditionId,warrantyPolicy,mileage,rangePerCharge,batteryCapacity,batteryType,chargeCycles,batteryLifespan,maxSpeed,color,chargeTime,compatibleVehicle,FINAL_SALE_PRICE
motorbike,Vinfast,2022,3,Hết bảo hành,12523,99.0,32 Ah,Lead Acid,78.0,,106.0,Xanh rêu,3 giờ,,22500000
bike,Asama,2020,2,Còn bảo hành chính hãng,3181,110,30 Ah,NMC,609.0,,25.0,Trắng,5 giờ,,7200000
motorbike,Niu,2021,2,Hết bảo hành,50720,54,62 Ah,Lead Acid,49.0,,61,Xanh lá,10 giờ,,15200000
bike,Engwe,2020,2,Còn bảo hành chính hãng,11211,127.0,16 Ah,NCA,800,,25.0,Xanh lá,10 giờ,,5200000
bike,Himo,2020,4,Còn bảo hành chính hãng,4050,125.0,26 Ah,NCA,784,,25.0,Xám,2.5 giờ,,4800000
bike,Ado,2019,2,Hết bảo hành,3128.0,61,11 Ah,NCA,407.0,,25.0,Xanh,6.5 giờ,,5000000
motorbike,Dibao,2020,1,Hết bảo hành,45297.0,180,49 Ah,Lead Acid,326.0,,49.0,Nâu,2.5 giờ,,15600000
car,Wuling,2021,1,Còn bảo hành chính hãng,106259.0,462,96 kWh,Lithium-ion,56.0,,142,Đỏ,6.5 giờ,,97300000
bike,Asama,2024,1,Hết bảo hành,576.0,129.0,10 Ah,Lithium-ion,263,,25.0,Xanh,5 giờ,,13900000
motorbike,Yadea,2019,4,Còn bảo hành chính hãng,66694,90,59 Ah,Lithium-ion,748.0,,106.0,Xám,7 giờ,,8900000
bike,Ado,2021,2,Còn bảo hành chính hãng,14852,134,15 Ah,Lead Acid,409.0,,25.0,Đen,8-10 giờ,,4400000
car,Tesla,2019,1,Còn bảo hành chính hãng,38379.0,227.0,93 kWh,NMC,558.0,,230,Xanh lá,5 giờ,,726700000
battery,Panasonic,2021,2,Hết bảo hành,,,64 Ah,LFP,463,16 tháng,,,5 giờ,,30400000
motorbike,Dibao,2019,4,Còn bảo hành chính hãng,44122,99.0,75 Ah,Lead Acid,444,,77.0,Đen mờ,8-10 giờ,,13500000
bike,Xiaomi,2024,2,Hết bảo hành,9586.0,128.0,25 Ah,NMC,845.0,,25.0,Xanh rêu,5 giờ,,9100000
car,Hyundai,2023,4,Hết bảo hành,68532,246.0,94 kWh,NMC,354,,240,Xanh rêu,9 giờ,,315800000
car,BYD,2024,1,Còn bảo hành chính hãng,72593,424,117 kWh,LFP,507.0,,280,Đen mờ,9 giờ,,609000000
battery,Gotion,2024,4,Còn bảo hành chính hãng,,,71 Ah,NMC,520,4 tháng,,,5 giờ,"BYD Atto 3, Dolphin",43100000
battery,Eve Energy,2021,1,Hết bảo hành,,,18 Ah,Lithium-ion,472,13 tháng,,,3 giờ,"Xe máy điện, xe đạp điện",19900000
bike,Ado,2020,4,Còn bảo hành chính hãng,11007.0,55.0,26 Ah,NCA,171,,25.0,Đen mờ,7 giờ,,3700000
battery,CATL,2021,2,Còn bảo hành chính hãng,,,65 kWh,NCA,500,30 tháng,,,7 giờ,Tata Tiago EV,37900000
car,Mercedes,2020,3,Còn bảo hành chính hãng,134029.0,655.0,119 kWh,NCA,345.0,,268.0,Bạc,5 giờ,,573200000
bike,Ado,2021,1,Còn bảo hành chính hãng,9214,102,16 Ah,LFP,898.0,,25.0,Đen mờ,5 giờ,,5900000
motorbike,DKBike,2024,4,Còn bảo hành chính hãng,29636.0,58.0,52 Ah,LFP,694,,47.0,Trắng,7 giờ,,26800000
bike,Specialized,2019,3,Hết bảo hành,6743,125.0,30 Ah,NMC,713,,25.0,Trắng,7 giờ,,8600000
car,Kia,2021,2,Còn bảo hành chính hãng,131337.0,563,97 kWh,Lead Acid,641,,260,Xám,3 giờ,,216000000
bike,Himo,2023,2,Hết bảo hành,8285.0,76.0,23 Ah,NCA,535.0,,25.0,Xám,9 giờ,,7600000
battery,Gotion,2022,4,Còn bảo hành chính hãng,,,35 kWh,LFP,535.0,50 tháng,,,7.5 giờ,"BMW i3, Fiat 500e",19500000
car,Audi,2022,1,Còn bảo hành chính hãng,118825.0,263,84 kWh,NMC,568.0,,166.0,Xanh rêu,7.5 giờ,,718200000
car,BYD,2020,2,Còn bảo hành chính hãng,7707.0,195.0,109 kWh,Lithium-ion,325.0,,104,Trắng,7.5 giờ,,443700000
battery,CATL,2020,4,Còn bảo hành chính hãng,,,44 Ah,Lithium-ion,567.0,35 tháng,,,5 giờ,VW ID.4,11100000
battery,CALB,2021,2,Hết bảo hành,,,115 kWh,NMC,786.0,5 tháng,,,7.5 giờ,Xe máy điện (Chung),48500000
motorbike,Dibao,2019,4,Hết bảo hành,60757.0,191,73 Ah,Lithium-ion,610,,94,Nâu,4 giờ,,9900000
motorbike,Niu,2019,1,Còn bảo hành chính hãng,12246.0,77.0,33 Ah,Lead Acid,572,,49.0,Trắng,6-8 giờ,,18800000
bike,Giant,2024,2,Hết bảo hành,10972,64,13 Ah,NCA,442,,25.0,Vàng,8-10 giờ,,7600000
car,Wuling,2023,2,Hết bảo hành,128990,389.0,29 kWh,NMC,620,,186.0,Xanh rêu,3 giờ,,86800000
car,BYD,2021,1,Hết bảo hành,41711,249.0,75 kWh,Lithium-ion,402,,157.0,Xanh rêu,9 giờ,,314200000
battery,Samsung SDI,2021,4,Còn bảo hành chính hãng,,,17 Ah,Lithium-ion,466.0,55 tháng,,,3 giờ,"Xe tải, bus điện",7700000
motorbike,Vinfast,2022,4,Hết bảo hành,18036.0,175.0,41 Ah,Lead Acid,353,,107.0,Trắng,3 giờ,,18600000
battery,Lishen,2019,2,Còn bảo hành chính hãng,,,47 Ah,NCA,579.0,12 tháng,,,4 giờ,"Xe tải, bus điện",20600000
car,Porsche,2023,2,Hết bảo hành,53954,159.0,64 kWh,NMC,265.0,,104,Xanh,4 giờ,,2250800000
car,BYD,2020,2,Hết bảo hành,112189.0,533,102 kWh,Lead Acid,142,,103,Xanh lá,6.5 giờ,,164100000
motorbike,Gogoro,2021,2,Hết bảo hành,62909.0,94,80 Ah,Lithium-ion,342,,76.0,Xám,5 giờ,,17200000
car,Porsche,2021,3,Hết bảo hành,34190,387.0,70 kWh,LFP,136.0,,107.0,Vàng,7.5 giờ,,1558700000
bike,Ado,2022,3,Còn bảo hành chính hãng,10561,74,17 Ah,Lithium-ion,91,,25.0,Nâu,2.5 giờ,,7100000
motorbike,Gogoro,2024,3,Hết bảo hành,30474,189.0,47 Ah,Lead Acid,374,,94,Xanh rêu,6-8 giờ,,28800000
motorbike,Vinfast,2021,2,Còn bảo hành chính hãng,28114,60,26 Ah,Lead Acid,255.0,,71,Bạc,2.5 giờ,,13900000
battery,Gotion,2020,3,Hết bảo hành,,,39 kWh,Lead Acid,621,51 tháng,,,2.5 giờ,GM Hummer EV,14400000
car,Mercedes,2019,2,Hết bảo hành,65826.0,239.0,75 kWh,Lithium-ion,37.0,,207.0,Xanh rêu,3 giờ,,863800000
motorbike,Dat Bike,2019,4,Hết bảo hành,44308.0,162,52 Ah,Lead Acid,711,,82,Xanh rêu,4 giờ,,13400000
bike,Asama,2022,1,Còn bảo hành chính hãng,7461,144,30 Ah,NMC,894,,25.0,Đen,6-8 giờ,,8500000
car,Audi,2021,2,Hết bảo hành,144856.0,426.0,38 kWh,NMC,786.0,,226.0,Xanh,5 giờ,,390600000
motorbike,Pega,2020,2,Hết bảo hành,25350,179.0,46 Ah,NMC,832,,89.0,Đen mờ,2.5 giờ,,20200000
car,Tesla,2019,4,Còn bảo hành chính hãng,52901,690,117 kWh,Lead Acid,608.0,,180,Nâu,6.5 giờ,,529300000
motorbike,Yadea,2023,2,Hết bảo hành,11932,201,60 Ah,NMC,338.0,,67.0,Trắng,10 giờ,,36200000
battery,BYD,2019,2,Còn bảo hành chính hãng,,,55 Ah,Lead Acid,507.0,36 tháng,,,6.5 giờ,Vinfast Evo 200,8600000
battery,LG Chem,2020,2,Còn bảo hành chính hãng,,,71 kWh,LFP,547.0,51 tháng,,,4 giờ,"BYD Atto 3, Dolphin",22100000
battery,Gotion,2022,1,Hết bảo hành,,,53 kWh,NCA,181,7 tháng,,,9 giờ,"BMW i3, Fiat 500e",56300000
car,Mercedes,2023,3,Còn bảo hành chính hãng,130451,523,110 kWh,NMC,564,,211,Xanh lá,10 giờ,,807600000
car,Nissan,2021,1,Hết bảo hành,93141,360,32 kWh,Lead Acid,472,,259.0,Nâu,2.5 giờ,,219700000
battery,SK On,2023,2,Còn bảo hành chính hãng,,,65 kWh,Lead Acid,809.0,54 tháng,,,4 giờ,Xe máy điện (Chung),30700000
battery,LG Chem,2022,3,Còn bảo hành chính hãng,,,113 kWh,LFP,35.0,27 tháng,,,2.5 giờ,"Renault Zoe, Chevy Bolt",57300000
car,Mercedes,2022,3,Còn bảo hành chính hãng,109072,554,58 kWh,NMC,205.0,,108.0,Xanh lá,2.5 giờ,,703900000
car,MG,2023,4,Còn bảo hành chính hãng,74122,495.0,83 kWh,Lithium-ion,732,,196.0,Nâu,9 giờ,,172600000
car,Tesla,2020,4,Hết bảo hành,27537.0,255.0,70 kWh,Lithium-ion,809.0,,225.0,Xanh lá,6-8 giờ,,563400000
bike,Giant,2021,4,Còn bảo hành chính hãng,1855.0,73,28 Ah,NMC,336.0,,25.0,Cam,5 giờ,,6600000
car,Honda,2019,1,Còn bảo hành chính hãng,140355.0,187.0,90 kWh,Lead Acid,674,,143,Nâu,7.5 giờ,,187400000
motorbike,Pega,2024,1,Còn bảo hành chính hãng,19577.0,68.0,43 Ah,NCA,590,,87.0,Xanh rêu,2.5 giờ,,35400000
battery,SK On,2024,4,Hết bảo hành,,,27 Ah,Lithium-ion,897.0,22 tháng,,,4 giờ,"Xe tải, bus điện",18600000
car,Porsche,2024,3,Còn bảo hành chính hãng,107806.0,428.0,76 kWh,Lithium-ion,449.0,,257.0,Xanh,7.5 giờ,,1561200000
bike,Ado,2023,2,Hết bảo hành,6019.0,113,23 Ah,NMC,735.0,,25.0,Trắng,9 giờ,,8300000
motorbike,Gogoro,2021,4,Còn bảo hành chính hãng,7966.0,142,45 Ah,LFP,890,,92,Nâu,4 giờ,,19600000
car,Porsche,2022,1,Hết bảo hành,75724,500,53 kWh,NMC,384,,114,Xanh,3 giờ,,1673200000
battery,SK On,2021,4,Còn bảo hành chính hãng,,,93 kWh,NMC,878.0,16 tháng,,,7.5 giờ,Xe máy điện (Chung),41900000
battery,LG Chem,2020,2,Hết bảo hành,,,61 kWh,Lead Acid,877.0,21 tháng,,,3 giờ,GM Hummer EV,35700000
motorbike,Vinfast,2020,1,Còn bảo hành chính hãng,11519.0,57.0,34 Ah,Lead Acid,185.0,,75.0,Xanh rêu,10 giờ,,19200000
car,Nissan,2022,3,Hết bảo hành,99678.0,356.0,94 kWh,NMC,172,,224,Xanh lá,10 giờ,,242000000
car,Kia,2019,4,Còn bảo hành chính hãng,101634,654,85 kWh,NMC,523,,267.0,Xám,9 giờ,,144000000
bike,Xiaomi,2024,1,Còn bảo hành chính hãng,6445.0,82,23 Ah,LFP,123,,25.0,Đen,2.5 giờ,,12400000
bike,Engwe,2024,3,Còn bảo hành chính hãng,3409.0,55.0,11 Ah,LFP,53,,25.0,Đỏ,4 giờ,,10000000
motorbike,Pega,2019,1,Hết bảo hành,30597.0,150,42 Ah,NCA,91,,80,Vàng,5 giờ,,16100000
bike,Ado,2021,1,Còn bảo hành chính hãng,12478.0,77.0,12 Ah,NCA,459.0,,25.0,Cam,10 giờ,,6100000
bike,Himo,2023,4,Hết bảo hành,12936.0,45.0,15 Ah,Lithium-ion,188.0,,25.0,Đen,5 giờ,,5000000
car,Tesla,2021,2,Hết bảo hành,136641,279.0,56 kWh,NCA,465.0,,232,Vàng,7.5 giờ,,374400000
bike,Asama,2021,3,Còn bảo hành chính hãng,13773,102,25 Ah,NCA,786.0,,25.0,Đen,6.5 giờ,,4800000
bike,Himo,2021,2,Hết bảo hành,3376.0,101,14 Ah,NMC,553,,25.0,Đen mờ,6-8 giờ,,7000000
battery,Phylion,2023,4,Còn bảo hành chính hãng,,,69 kWh,Lithium-ion,896.0,52 tháng,,,6.5 giờ,VW ID.4,22700000
bike,Engwe,2024,2,Hết bảo hành,11845.0,150,29 Ah,Lead Acid,163,,25.0,Đen,7 giờ,,7200000
bike,Himo,2021,2,Còn bảo hành chính hãng,756.0,133,21 Ah,LFP,538.0,,25.0,Đen mờ,6-8 giờ,,8900000
motorbike,Niu,2021,1,Còn bảo hành chính hãng,34951,237.0,24 Ah,Lead Acid,652,,46.0,Xanh lá,10 giờ,,16200000
car,Porsche,2019,4,Còn bảo hành chính hãng,32813,532,42 kWh,LFP,321,,188.0,Đen mờ,9 giờ,,1010800000
bike,Ado,2020,2,Còn bảo hành chính hãng,14587.0,86.0,29 Ah,NMC,259.0,,25.0,Đỏ,8-10 giờ,,4300000
bike,Xiaomi,2020,3,Hết bảo hành,4746.0,58.0,27 Ah,NMC,668.0,,25.0,Bạc,4 giờ,,5800000
motorbike,Yadea,2022,2,Hết bảo hành,47632,124,22 Ah,Lead Acid,535.0,,87.0,Nâu,7 giờ,,16400000
battery,SK On,2019,2,Còn bảo hành chính hãng,,,71 kWh,Lead Acid,722,24 tháng,,,9 giờ,"Xe tải, bus điện",35100000
motorbike,Niu,2020,3,Hết bảo hành,63907.0,110,35 Ah,NCA,647.0,,94,Bạc,6.5 giờ,,11500000
battery,CALB,2022,3,Còn bảo hành chính hãng,,,43 kWh,Lithium-ion,80,17 tháng,,,7.5 giờ,,39200000
battery,Vinfast,2022,1,Hết bảo hành,,,118 kWh,NCA,609.0,47 tháng,,,7.5 giờ,Ford F-150 Lightning,27500000
battery,SK On,2022,2,Hết bảo hành,,,38 kWh,NMC,604,17 tháng,,,3 giờ,Xe đạp điện (Chung),51600000
car,Porsche,2022,2,Hết bảo hành,80164,265.0,115 kWh,Lithium-ion,99.0,,179.0,Cam,3 giờ,,1758400000
bike,Xiaomi,2022,1,Hết bảo hành,14933,66.0,15 Ah,NCA,789.0,,25.0,Cam,6-8 giờ,,6300000
bike,Asama,2020,2,Hết bảo hành,4318.0,144,21 Ah,NMC,62,,25.0,Đỏ,6.5 giờ,,6800000
car,Vinfast,2020,1,Còn bảo hành chính hãng,138805.0,606.0,33 kWh,NCA,303,,130,Hồng,3 giờ,,188100000
bike,Specialized,2019,1,Hết bảo hành,1310,61,17 Ah,NCA,675.0,,25.0,Xanh,3 giờ,,13400000
bike,Ado,2022,4,Còn bảo hành chính hãng,7697.0,91,11 Ah,NMC,229.0,,25.0,Trắng,6-8 giờ,,5100000
bike,Trek,2019,3,Còn bảo hành chính hãng,5955.0,103,18 Ah,Lead Acid,422,,25.0,Đỏ,8-10 giờ,,7300000
bike,Xiaomi,2023,4,Hết bảo hành,8196.0,116.0,19 Ah,NCA,95.0,,25.0,Xanh lá,7.5 giờ,,7000000
bike,Trek,2022,1,Còn bảo hành chính hãng,383,58.0,26 Ah,LFP,90,,25.0,Xanh lá,7.5 giờ,,22100000
car,MG,2022,3,Hết bảo hành,61931,689.0,95 kWh,LFP,279.0,,278.0,Hồng,3 giờ,,204200000
bike,Xiaomi,2022,1,Còn bảo hành chính hãng,13689.0,94,18 Ah,LFP,174,,25.0,Nâu,3 giờ,,6800000
battery,BYD,2021,3,Hết bảo hành,,,45 Ah,Lithium-ion,226.0,22 tháng,,,7.5 giờ,"BYD Atto 3, Dolphin",10100000
battery,SK On,2024,4,Hết bảo hành,,,77 Ah,NMC,774,43 tháng,,,7 giờ,,16100000
car,Wuling,2021,1,Hết bảo hành,106965.0,629.0,55 kWh,LFP,378.0,,257.0,Đen,9 giờ,,80500000
bike,Engwe,2023,1,Hết bảo hành,5637.0,128.0,25 Ah,NCA,723,,25.0,Đen,10 giờ,,11200000
battery,CALB,2019,4,Còn bảo hành chính hãng,,,39 kWh,Lithium-ion,320,59 tháng,,,4 giờ,"Renault Zoe, Chevy Bolt",12100000
motorbike,Dibao,2021,1,Hết bảo hành,31891,60,73 Ah,NCA,40,,59.0,Xám,6.5 giờ,,23700000
bike,Specialized,2020,3,Hết bảo hành,9271,97.0,26 Ah,NMC,211,,25.0,Bạc,6-8 giờ,,7400000
battery,LG Chem,2019,2,Hết bảo hành,,,105 kWh,NCA,460,18 tháng,,,7.5 giờ,GM Hummer EV,40800000
bike,Asama,2022,2,Còn bảo hành chính hãng,10337.0,139.0,26 Ah,LFP,465.0,,25.0,Vàng,7.5 giờ,,6800000
bike,Trek,2021,3,Còn bảo hành chính hãng,9746.0,63,26 Ah,Lead Acid,671,,25.0,Trắng,4 giờ,,8900000
battery,CATL,2020,2,Hết bảo hành,,,56 kWh,Lead Acid,422,14 tháng,,,10 giờ,Rivian R1T,42700000
motorbike,DKBike,2019,3,Còn bảo hành chính hãng,26743,201,35 Ah,Lead Acid,77.0,,94,Xanh,8-10 giờ,,15500000
battery,Panasonic,2022,3,Còn bảo hành chính hãng,,,118 kWh,NCA,424,57 tháng,,,7.5 giờ,"Renault Zoe, Chevy Bolt",37400000
motorbike,Yadea,2022,1,Còn bảo hành chính hãng,31852,126.0,51 Ah,NMC,142,,77.0,Cam,6.5 giờ,,33100000
motorbike,DKBike,2019,4,Hết bảo hành,27638.0,107.0,28 Ah,LFP,588.0,,77.0,Hồng,8-10 giờ,,10400000
motorbike,Dat Bike,2021,4,Còn bảo hành chính hãng,43555.0,207.0,64 Ah,NMC,428.0,,62,Đen mờ,6-8 giờ,,22300000
motorbike,Gogoro,2024,4,Hết bảo hành,38394,84,67 Ah,NCA,262,,106.0,Cam,6-8 giờ,,29200000
car,Porsche,2022,3,Còn bảo hành chính hãng,32028.0,530,103 kWh,Lithium-ion,827.0,,100,Hồng,7.5 giờ,,2222900000
battery,CATL,2024,2,Còn bảo hành chính hãng,,,23 Ah,Lithium-ion,265.0,53 tháng,,,7 giờ,"Hyundai Ioniq 5, Kia EV6",19200000
motorbike,DKBike,2020,1,Hết bảo hành,63509.0,128.0,47 Ah,NCA,856.0,,104,Xanh rêu,6.5 giờ,,12500000
motorbike,Dibao,2019,3,Hết bảo hành,13313,226.0,71 Ah,LFP,808.0,,56.0,Bạc,3 giờ,,14900000
car,Wuling,2020,4,Hết bảo hành,20281,211,56 kWh,Lithium-ion,310,,165.0,Vàng,10 giờ,,101300000
battery,SK On,2024,2,Còn bảo hành chính hãng,,,41 Ah,Lead Acid,786.0,38 tháng,,,5 giờ,Ford F-150 Lightning,21700000
bike,Engwe,2020,4,Hết bảo hành,9501,128.0,13 Ah,Lithium-ion,370,,25.0,Đen,7.5 giờ,,3700000
bike,Xiaomi,2019,2,Còn bảo hành chính hãng,6632,60,28 Ah,LFP,374,,25.0,Xanh lá,9 giờ,,5000000
bike,Giant,2023,4,Còn bảo hành chính hãng,1199.0,59.0,25 Ah,NMC,165.0,,25.0,Hồng,2.5 giờ,,7800000
battery,BYD,2021,3,Còn bảo hành chính hãng,,,32 Ah,Lead Acid,125.0,35 tháng,,,7 giờ,"Hyundai Ioniq 5, Kia EV6",8000000
motorbike,Niu,2022,2,Hết bảo hành,4515.0,221,74 Ah,NMC,178.0,,45.0,Vàng,5 giờ,,31000000
car,Tesla,2021,2,Hết bảo hành,80695.0,652,117 kWh,NMC,663,,102,Bạc,6-8 giờ,,558500000
car,BMW,2019,4,Còn bảo hành chính hãng,11554,154,49 kWh,NMC,500,,198.0,Đen,6.5 giờ,,802000000
bike,Ado,2024,3,Hết bảo hành,9944,53,28 Ah,LFP,339.0,,25.0,Xanh,6-8 giờ,,7300000
bike,Himo,2021,4,Hết bảo hành,4624,116.0,30 Ah,LFP,871,,25.0,Nâu,6-8 giờ,,5600000
bike,Ado,2020,3,Hết bảo hành,11390,98.0,27 Ah,NCA,447.0,,25.0,Xám,6.5 giờ,,3900000
motorbike,DKBike,2020,4,Còn bảo hành chính hãng,2023,108.0,74 Ah,Lead Acid,646.0,,92,Bạc,8-10 giờ,,21000000
car,Porsche,2024,1,Còn bảo hành chính hãng,142752,354,112 kWh,NMC,159.0,,125.0,Xám,8-10 giờ,,1923400000
car,Kia,2024,2,Hết bảo hành,4447.0,632,41 kWh,NCA,519.0,,236.0,Cam,6-8 giờ,,652200000
motorbike,Niu,2024,4,Còn bảo hành chính hãng,24093,88.0,28 Ah,Lithium-ion,561,,67.0,Cam,4 giờ,,21500000
bike,Asama,2021,4,Hết bảo hành,8499.0,121,29 Ah,NCA,235.0,,25.0,Đỏ,6.5 giờ,,4600000
car,Vinfast,2023,2,Còn bảo hành chính hãng,112850,405.0,58 kWh,Lead Acid,587.0,,198.0,Xám,7 giờ,,348600000
motorbike,Gogoro,2021,4,Hết bảo hành,16382,52,60 Ah,NCA,642,,101,Xanh rêu,3 giờ,,18500000
bike,Giant,2020,1,Còn bảo hành chính hãng,4366.0,72,30 Ah,NCA,206.0,,25.0,Cam,5 giờ,,7400000
battery,Gotion,2021,1,Còn bảo hành chính hãng,,,71 Ah,LFP,896.0,10 tháng,,,7.5 giờ,Ford F-150 Lightning,30600000
motorbike,Dat Bike,2024,1,Hết bảo hành,64561,150,59 Ah,Lead Acid,551,,64,Vàng,5 giờ,,32800000
car,Audi,2023,3,Hết bảo hành,67962,685.0,74 kWh,NMC,645.0,,240,Vàng,7 giờ,,929400000
bike,Himo,2022,2,Còn bảo hành chính hãng,8188.0,119.0,26 Ah,NMC,76.0,,25.0,Xám,4 giờ,,8200000
bike,Xiaomi,2024,2,Còn bảo hành chính hãng,5262,99.0,18 Ah,Lithium-ion,595.0,,25.0,Vàng,7.5 giờ,,12000000
battery,CALB,2021,2,Hết bảo hành,,,38 Ah,NCA,309.0,48 tháng,,,5 giờ,Ford F-150 Lightning,11600000
bike,Ado,2023,3,Còn bảo hành chính hãng,4884,54,20 Ah,LFP,894,,25.0,Trắng,7 giờ,,7800000
battery,BYD,2022,3,Còn bảo hành chính hãng,,,31 kWh,NMC,33,10 tháng,,,6-8 giờ,MG ZS EV,25700000
battery,CALB,2020,3,Hết bảo hành,,,36 Ah,Lead Acid,561,55 tháng,,,5 giờ,Tesla Model 3/Y,7400000
bike,Ado,2023,3,Còn bảo hành chính hãng,6477.0,53,24 Ah,Lead Acid,298.0,,25.0,Xám,10 giờ,,9800000
motorbike,DKBike,2020,2,Hết bảo hành,67558.0,77.0,46 Ah,Lithium-ion,479.0,,95.0,Hồng,4 giờ,,11100000
battery,CALB,2019,4,Hết bảo hành,,,59 kWh,Lithium-ion,525.0,11 tháng,,,3 giờ,VW ID.4,23300000
motorbike,Yadea,2019,3,Còn bảo hành chính hãng,14786.0,80,59 Ah,Lead Acid,204,,50,Đỏ,4 giờ,,14300000
car,Vinfast,2020,4,Hết bảo hành,141489.0,585.0,35 kWh,NCA,831,,210,Xanh,3 giờ,,127000000
bike,Trek,2021,1,Còn bảo hành chính hãng,8514,78.0,23 Ah,Lithium-ion,445.0,,25.0,Xanh,9 giờ,,11200000
bike,Giant,2021,2,Còn bảo hành chính hãng,13178.0,146.0,17 Ah,NCA,284,,25.0,Đỏ,6.5 giờ,,5200000
bike,Ado,2020,1,Hết bảo hành,9185.0,90,29 Ah,NCA,392,,25.0,Đen mờ,10 giờ,,6500000
bike,Himo,2021,2,Còn bảo hành chính hãng,8612,127.0,26 Ah,NMC,525.0,,25.0,Đen mờ,9 giờ,,5500000
car,Honda,2024,3,Hết bảo hành,57236.0,483,117 kWh,NMC,748.0,,217.0,Hồng,2.5 giờ,,561600000
motorbike,Dat Bike,2024,4,Hết bảo hành,4721,219.0,33 Ah,Lead Acid,422,,64,Đen mờ,7 giờ,,39300000
motorbike,Dat Bike,2022,1,Còn bảo hành chính hãng,68232,243,69 Ah,LFP,715.0,,78.0,Trắng,10 giờ,,36500000
bike,Xiaomi,2019,4,Còn bảo hành chính hãng,3882,128.0,29 Ah,LFP,326.0,,25.0,Vàng,6-8 giờ,,4400000
motorbike,Pega,2024,1,Hết bảo hành,35289.0,218.0,43 Ah,NCA,147.0,,72,Xanh,4 giờ,,32000000
battery,SK On,2022,2,Còn bảo hành chính hãng,,,59 Ah,NMC,735.0,46 tháng,,,7.5 giờ,"Renault Zoe, Chevy Bolt",16000000
motorbike,Dibao,2023,1,Còn bảo hành chính hãng,67815.0,130,53 Ah,NCA,764,,77.0,Nâu,2.5 giờ,,25800000
bike,Specialized,2019,4,Còn bảo hành chính hãng,3890,139.0,30 Ah,NCA,321,,25.0,Trắng,7 giờ,,8300000
motorbike,DKBike,2024,4,Hết bảo hành,41203,104,58 Ah,NMC,269.0,,52,Đen,4 giờ,,20200000
car,Mercedes,2021,4,Còn bảo hành chính hãng,135755.0,606.0,91 kWh,NCA,451,,175.0,Vàng,6-8 giờ,,506500000
battery,Samsung SDI,2023,1,Còn bảo hành chính hãng,,,19 Ah,NCA,593,20 tháng,,,2.5 giờ,"BMW i3, Fiat 500e",29900000
motorbike,Yadea,2022,3,Còn bảo hành chính hãng,3748.0,100,66 Ah,NCA,552,,105.0,Đen mờ,3 giờ,,37900000
motorbike,Gogoro,2022,1,Còn bảo hành chính hãng,25606.0,85.0,43 Ah,Lead Acid,790,,103,Hồng,7 giờ,,38900000
bike,Trek,2024,4,Còn bảo hành chính hãng,6521,40,20 Ah,Lead Acid,83,,25.0,Xanh lá,7 giờ,,12100000
car,Kia,2024,2,Còn bảo hành chính hãng,5138.0,175.0,40 kWh,Lead Acid,151,,276.0,Cam,7 giờ,,786200000
motorbike,Gogoro,2020,1,Còn bảo hành chính hãng,27279.0,122,46 Ah,Lead Acid,116.0,,60,Vàng,2.5 giờ,,29700000
battery,SK On,2024,3,Còn bảo hành chính hãng,,,37 kWh,NMC,83,39 tháng,,,2.5 giờ,"Hyundai Ioniq 5, Kia EV6",31400000
motorbike,Niu,2020,4,Hết bảo hành,3931,149.0,28 Ah,Lead Acid,348.0,,108.0,Đỏ,4 giờ,,16300000
car,BMW,2022,2,Còn bảo hành chính hãng,42836.0,200,71 kWh,NCA,329.0,,136.0,Nâu,8-10 giờ,,1273700000
battery,SK On,2021,3,Còn bảo hành chính hãng,,,105 kWh,Lithium-ion,277.0,47 tháng,,,2.5 giờ,Ford F-150 Lightning,27600000
car,Nissan,2022,4,Hết bảo hành,123220,557.0,98 kWh,NCA,150,,173,Cam,7 giờ,,147600000
car,Honda,2023,4,Hết bảo hành,88011,407.0,88 kWh,NCA,846.0,,146.0,Trắng,6-8 giờ,,241000000
battery,Panasonic,2022,2,Còn bảo hành chính hãng,,,22 Ah,NMC,784,49 tháng,,,4 giờ,,14800000
motorbike,Dibao,2023,1,Hết bảo hành,23852,88.0,69 Ah,Lithium-ion,291,,86.0,Bạc,3 giờ,,31700000
car,Wuling,2024,3,Hết bảo hành,136722,645.0,30 kWh,Lead Acid,130,,177.0,Đen mờ,10 giờ,,65900000
bike,Himo,2022,2,Còn bảo hành chính hãng,14207.0,70,26 Ah,NCA,340,,25.0,Trắng,7 giờ,,7400000
car,Wuling,2023,2,Còn bảo hành chính hãng,68874,174,114 kWh,NCA,173,,123,Đỏ,7.5 giờ,,182900000
motorbike,Dat Bike,2022,4,Hết bảo hành,11732,200,52 Ah,NMC,526.0,,91,Xanh rêu,9 giờ,,35600000
car,Wuling,2021,1,Còn bảo hành chính hãng,56261,200,108 kWh,NMC,303,,126.0,Xanh,2.5 giờ,,145300000
motorbike,Yadea,2023,4,Hết bảo hành,7116.0,244,77 Ah,Lithium-ion,559.0,,103,Xanh,10 giờ,,26500000
motorbike,DKBike,2019,1,Hết bảo hành,18553,57.0,40 Ah,LFP,87.0,,75.0,Đen mờ,6-8 giờ,,16400000
bike,Himo,2021,1,Còn bảo hành chính hãng,13088.0,42,28 Ah,Lead Acid,62,,25.0,Xanh lá,10 giờ,,6200000
